order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,n_items,total_price,total_freight,product_category_name,product_category_name_english,total_payment_value,n_payment_installments,payment_type,is_late
91917ed8f3cff7119b635ee161fc926c,79ea5edbfaef2735d701da955519c034,delivered,2017-08-26 22:22:52,2017-08-29 04:44:39,2017-08-29 20:10:04,2017-09-04 18:03:31,2017-09-21,e62f4619f5338be2f7d4da531bb89ac2,26700,mendes,RJ,1.0,89.9,17.88,cama_mesa_banho,bed_bath_table,107.78,1.0,boleto,0
6fcd3790fd12ab3c4eacc9da0f931992,bf06469eadee11e635909ecabf966022,delivered,2018-01-25 17:02:18,2018-01-25 17:31:47,2018-01-26 21:26:58,2018-02-08 15:42:46,2018-02-22,1d9787b5bb0f84d02fb97846970f5c5a,22230,rio de janeiro,RJ,1.0,189.0,16.07,audio,audio,205.07,4.0,credit_card,0
aa94e99bd2554aa3be1d546206cfe48d,bd62221e6e011f8811afc467e5a647e1,delivered,2018-08-11 18:30:27,2018-08-11 18:45:17,2018-08-13 12:53:00,2018-08-24 20:18:44,2018-08-21,3bbf03908fb2863f5537cec78cf5f70b,4943,sao paulo,SP,1.0,39.99,7.54,automotivo,auto,47.53,1.0,credit_card,1
0547cd893959df1f7e54aeaee4368577,68491aa52cafce7ca8cfd1cfef3681d4,delivered,2018-05-02 23:31:12,2018-05-03 00:50:13,2018-05-04 14:40:00,2018-05-10 16:08:26,2018-05-23,362dfd5054d601e41fefddc74af853da,1223,sao paulo,SP,1.0,109.9,13.21,cama_mesa_banho,bed_bath_table,123.11,3.0,credit_card,0
76488d1a3fac0eda31bb3e5f9a31cc3a,8463f3149ad34f205ea17fd97caa66fd,delivered,2017-11-13 09:43:54,2017-11-14 04:16:07,2017-11-16 18:23:03,2017-12-21 15:54:41,2017-12-14,2bb2d41131e55fb88d4d8a2527c4a6a7,65800,balsas,MA,1.0,179.0,35.05,relogios_presentes,watches_gifts,214.05,1.0,boleto,1
4e233b40b72c7a074309dc423a0320e6,2d3488b51dd898ee2b4d0eabdcf85855,delivered,2018-06-20 21:04:58,2018-06-22 03:17:18,2018-06-22 13:17:00,2018-06-27 19:04:45,2018-07-18,8995437e9b9919bc40c361e09e3bab4c,26551,mesquita,RJ,1.0,94.99,18.77,bebes,baby,113.76,1.0,boleto,0
85c0ddad95967f361fd9cd9e3d1886b1,d73be05e1ad446cd53ee99777c389c59,delivered,2018-07-03 14:16:56,2018-07-05 16:40:17,2018-07-05 11:33:00,2018-07-06 15:08:35,2018-07-17,a4ad40e8cfd0fe269df7d9cc2f4519ee,31530,belo horizonte,MG,2.0,14.0,15.42,perfumaria,perfumery,29.42,1.0,credit_card,0
5d6b2a5fb9a709d4d59ac6eb4bb1a6c5,107a0ca2d031c7f0825cabad3c439401,delivered,2018-01-31 23:46:01,2018-02-01 02:10:38,2018-02-01 19:49:50,2018-02-06 17:03:35,2018-02-22,fbb3abe358fcda91763653b9975cf8e6,38740,patrocinio,MG,1.0,37.48,12.48,esporte_lazer,sports_leisure,49.96,1.0,credit_card,0
05c30545ba4331e04ae0de1523bb41f4,eee54012f3ee01c587f3c2ba276b8094,delivered,2017-09-04 12:24:46,2017-09-04 12:43:59,2017-09-05 18:08:05,2017-09-15 19:27:31,2017-09-26,667f836c6b4cfebee7ed74b3bd753da4,27916,macae,RJ,1.0,28.3,16.11,informatica_acessorios,computers_accessories,44.41,4.0,credit_card,0
5e3b22928fa1027cbf4db7a8e5840cb0,d5b654ad125240f776182b4a37ca4b29,delivered,2018-01-22 03:42:14,2018-01-22 14:49:52,2018-01-23 20:32:44,2018-01-25 16:36:46,2018-02-20,2eb9ff5cb02c68fb6766ce8eb07843dc,26286,nova iguacu,RJ,1.0,120.0,45.3,ferramentas_jardim,garden_tools,165.3,1.0,voucher,0
e83965852a6e35ed713250e090367ff7,8d53cffa847c8c98fc003386511020eb,delivered,2017-12-11 22:13:55,2017-12-11 23:35:56,2017-12-22 15:18:58,2018-01-20 00:58:28,2018-01-04,7f4d4d150d120fe0dd56f11866a63f36,5890,sao paulo,SP,1.0,129.98,13.93,brinquedos,toys,143.91,8.0,credit_card,1
3055272ae721b2f3c8107ca6ce29160e,950dd2650d1748f4b42edb506811323e,delivered,2018-06-02 19:11:13,2018-06-02 19:31:33,2018-06-04 16:02:00,2018-06-05 21:39:33,2018-06-28,595a552f7eec0fdb2613791233b6eaa8,1209,sao paulo,SP,1.0,95.2,11.29,casa_construcao,home_construction,106.49,1.0,credit_card,0
a8c7e8c088aabc1cd41eb0161f0c7757,9fe82e319a983fcac6e5ea245687ea71,delivered,2017-09-07 20:55:17,2017-09-07 21:10:12,2017-09-08 14:32:26,2017-09-17 16:49:10,2017-09-27,1bcddf0de06b8a76191f0f7d1cfa35ed,25955,teresopolis,RJ,1.0,15.9,16.11,eletroportateis,small_appliances,32.01,1.0,voucher,0
6fb1d503fbeaca8539b2682dfe04d56b,c06ff073c8e5f6d97a3291553e8b9938,delivered,2017-03-10 23:18:42,2017-03-10 23:18:42,2017-03-13 09:56:05,2017-03-21 07:37:58,2017-03-31,596d1e5c87501f97242b054c729fd993,39970,pedra azul,MG,1.0,129.9,17.65,livros_interesse_geral,books_general_interest,147.55,1.0,voucher,0
18dd3f41a84cc95b6106008449cba262,326cbc06e2f48fa67a884ddfa1694412,delivered,2017-08-25 10:20:51,2017-08-26 02:10:15,2017-08-29 15:49:11,2017-09-20 17:55:29,2017-09-28,bd0512ab6c631a62fdc974a682600f56,78635,agua boa,MT,1.0,84.99,17.03,beleza_saude,health_beauty,102.02,1.0,boleto,0
1c82977a662054f8170766914b02e7ca,4bf0847bb4f39b38234bca0fef95c35b,delivered,2017-11-01 17:18:00,2017-11-01 17:31:14,2017-11-08 20:15:10,2017-11-17 22:34:49,2017-11-30,233969687c07d62583272804174101bd,99200,guapore,RS,1.0,17.99,15.1,telefonia,telephony,33.09,1.0,credit_card,0
ec6e95dcca4c512f5302ba944bb0e2b4,8509865d572d9f571742875e5a6b41a9,delivered,2018-01-26 14:45:19,2018-01-26 14:59:15,2018-01-29 21:52:38,2018-02-02 19:24:02,2018-02-19,225863ebbe46957d060c6201b4dd0bd4,18890,taguai,SP,1.0,24.9,11.85,papelaria,stationery,36.75,1.0,credit_card,0
fa6b2d45eec5e550786c4adf6de7303e,c0dc942054a88df8c95158fe2667bb12,delivered,2017-07-15 13:04:21,2017-07-15 13:15:22,2017-07-18 15:53:28,2017-07-25 22:44:29,2017-08-04,764ac9e929632c4cc0611fff3d9b2c21,13707,venda branca,SP,1.0,117.3,17.53,automotivo,auto,134.83,5.0,credit_card,0
5128a1fb5fd9f44d87fc13d784b3b9b9,3e64eb3cfdeb0c9cb5fb497e7afdd9f6,delivered,2017-10-31 07:53:48,2017-10-31 08:05:57,2017-11-07 12:29:15,2017-11-20 20:16:59,2017-11-29,1b51af3c9a3ff91fe4c5b90d4aa47154,36512,tocantins,MG,1.0,89.9,17.88,moveis_decoracao,furniture_decor,107.78,5.0,credit_card,0
60e6f7ddb40a12b4b2b272b60f8db990,1a8eb043bc13de00b3d39495190dade0,delivered,2017-08-10 14:46:06,2017-08-11 04:25:42,2017-08-17 17:38:32,2017-08-28 20:20:04,2017-09-06,a45cb33109cba712405ffa2093ec1545,22061,rio de janeiro,RJ,1.0,30.99,19.84,esporte_lazer,sports_leisure,50.83,1.0,boleto,0
1d1f85267347878da2291cbb1bf6ba84,d5b12b50bd73a2202321b2b094b80344,delivered,2018-07-01 18:14:07,2018-07-01 18:30:30,2018-07-04 13:34:00,2018-07-09 19:37:34,2018-07-25,2fed7f906c785141f560c6e84d3c2b5e,35180,timoteo,MG,1.0,79.9,18.66,automotivo,auto,98.56,6.0,credit_card,0
c6c503c80e66a33d6e643178cd943e7b,7e153c1fcfdae18b86e15bead9915409,delivered,2017-07-02 20:48:48,2017-07-02 21:03:55,2017-07-05 10:07:32,2017-07-14 20:27:50,2017-07-28,99c3cd03f2cb4e199ec4df6691116ddd,96740,arroio dos ratos,RS,1.0,54.99,16.63,beleza_saude,health_beauty,71.62,3.0,credit_card,0
68650dcbe7ea36df21a504e095d3d063,f058edb3bbbcfbdb48a94999c90a7ed8,delivered,2018-01-15 13:03:26,2018-01-15 13:11:26,2018-01-19 18:26:30,2018-01-29 16:06:07,2018-01-30,f62e9e011a3b827925470b59c8062cb9,5210,sao paulo,SP,1.0,79.9,9.37,papelaria,stationery,89.27,1.0,credit_card,0
97cf410955342f171c31559b5846b379,d6ba39c70cc208a64e6daa81c205cc03,delivered,2018-05-07 15:04:57,2018-05-07 16:53:03,2018-05-08 06:32:00,2018-05-15 20:36:57,2018-05-29,eac7cc6c7552b09e087c4290bb7ae884,28893,rio das ostras,RJ,1.0,29.99,18.23,telefonia,telephony,48.22,4.0,credit_card,0
c1a2ee16a0ebb378f57bdf69fcf45b79,01a61e75bd333a349351fba370520597,delivered,2018-08-19 18:44:47,2018-08-20 13:20:24,2018-08-28 17:10:00,2018-08-29 14:49:06,2018-08-28,51498d611c600d2fbc05374a3928cfb2,2475,sao paulo,SP,1.0,230.0,26.59,moveis_decoracao,furniture_decor,256.59,1.0,credit_card,1
ab408a8fc0534c213e9de5b875be325d,128df5509d1a786ff02367d087e7971b,delivered,2017-11-25 18:14:42,2017-11-25 18:33:37,2017-11-28 16:27:28,2017-12-08 17:15:25,2017-12-26,9dfd2269e72e12592282e9ebb1d02c5b,2404,sao paulo,SP,1.0,58.55,12.54,pet_shop,pet_shop,71.09,1.0,credit_card,0
c0fabfdace2df4fbd9e0e958f29a2cd7,d6028dc827eae81534f01a813de8d9f9,delivered,2017-12-03 17:44:17,2017-12-05 17:37:25,2017-12-07 15:24:06,2017-12-12 19:37:50,2017-12-20,5375200b069935e3ff1fc2489886ec5a,13083,campinas,SP,1.0,37.5,9.34,papelaria,stationery,46.84,4.0,credit_card,0
cd6d5ca28fe5c4aabf7aec6f2968bd49,a716b6eccbe4faea73f0d19022e377bc,delivered,2017-11-28 21:10:55,2017-11-28 21:36:22,2017-12-01 14:35:10,2017-12-18 22:24:49,2017-12-18,a9179861db3b155bea5a214af4646b91,11310,sao vicente,SP,1.0,35.9,11.85,beleza_saude,health_beauty,47.75,2.0,credit_card,1
71fa5212055ef88adbd05cf0391a9a90,28fb48735e43a9b9dcc1aa088566a388,delivered,2018-05-01 15:53:37,2018-05-01 16:14:48,2018-05-02 14:47:00,2018-05-08 21:08:37,2018-06-04,0a0cc8f1e97968abd98f83a66b3ffcf7,97200,restinga seca,RS,1.0,127.89,23.48,brinquedos,toys,151.37,10.0,credit_card,0
